passage_topic,class
England 'to launch ref protest',sport
Moore questions captaincy,sport
Owen set for skipper role,sport
Italy aim to rattle England,sport
Dal Maso in to replace Bergamasco,sport
Teenager Tait picked for England,sport
Wood - Ireland can win Grand Slam,sport
Scots suffer another injury blow,sport
O'Sullivan keeps his powder dry,sport
Wales get Williams fitness boost,sport
Dawson joins England injury list,sport
Wales want rugby league training,sport
Saint-Andre anger at absent stars,sport
Ruddock backs Yapp's credentials,sport
Player burn-out worries Robinson,sport
Hodges announces rugby retirement,sport
Funding cut hits Wales Students,sport
Calder fears for Scottish rugby,sport
A year to remember for Irish,sport
Williams stays on despite dispute,sport
Lomu relishing return to action,sport
Johnson announces June retirement,sport
A November to remember,sport
South Africa sweep top awards,sport
Robinson wants dual code success,sport
All Black magic: New Zealand rugby,sport
WRU proposes season overhaul,sport
Wilkinson to lead England,sport
Hong Kong in 2011 World Cup bid,sport
Dallaglio his own man to the end,sport
Wasps 31-37 Leicester,sport
Ireland 17-12 South Africa,sport
Ireland v USA (Sat),sport
Ireland call up uncapped Campbell,sport
Ireland 21-19 Argentina,sport
England claim Dubai Sevens glory,sport
Barbarians 19-47 New Zealand,sport
Dawson wins England squad recall,sport
Borders 19-20 Ulster,sport
Lions blow to World Cup stars,sport
Campbell to be Lions consultant,sport
Lions blow to World Cup winners,sport
Wilkinson fit to face Edinburgh,sport
Dallaglio eyeing Lions tour place,sport
Dawson set for new Wasps contract,sport
Healey targets England comeback,sport
Scrum-half Williams rejoins Bath,sport
Bath faced with Tindall ultimatum,sport
Tindall wants second opinion,sport
Paris promise raises Welsh hopes,sport
Wales silent on Grand Slam talk,sport
Sculthorpe wants Lions captaincy,sport
Tigers wary of Farrell 'gamble',sport
Farrell saga to drag on - Lindsay,sport
England given tough Sevens draw,sport
Wales hails new superstar,sport
Sydney to host north v south game,sport
Celts savour Grand Slam prospect,sport
Ireland win eclipses refereeing 'errors',sport
Ireland 19-13 England,sport
Fuming Robinson blasts officials,sport
Scotland 18-10 Italy,sport
Bortolami predicts dour contest,sport
O'Connell rejects Lions rumours,sport
Taylor poised for Scotland return,sport
Vickery upbeat about arm injury,sport
Dominici backs lacklustre France,sport
Llewellyn plans Wales retirement,sport
England 17-18 France,sport
Wilkinson to miss Ireland match,sport
Italy 8-38 Wales,sport
D'Arcy injury adds to Ireland woe,sport
O'Driscoll out of Scotland game,sport
Tindall aiming to earn Lions spot,sport
O'Connor aims to grab opportunity,sport
Henman overcomes rival Rusedski,sport
Safin slumps to shock Dubai loss,sport
Ferrero eyes return to top form,sport
Roddick into San Jose final,sport
Federer claims Dubai crown,sport
Young debut cut short by Ginepri,sport
Melzer shocks Agassi,sport
Federer forced to dig deep,sport
Nadal marches on in Mexico,sport
Hantuchova in Dubai last eight,sport
Parmar ruled out of Davis Cup tie,sport
Davenport hits out at Wimbledon,sport
Dogged Federer claims Dubai crown,sport
Henman hopes ended in Dubai,sport
Mirza shocks Kuznetsova,sport
Hantuchova in Dubai last eight,sport
Murray to make Cup history,sport
Davenport hits out at Wimbledon,sport
Venus stunned by Farina Elia,sport
Martinez sees off Vinci challenge,sport
Serena becomes world number two,sport
Hingis to make unexpected return,sport
Clijsters set for February return,sport
Hewitt falls to Dent,sport
Angry Williams rejects criticism,sport
Davenport dismantles young rival,sport
Serena ends Sania Mirza's dream,sport
Kuznetsova 'failed a drugs test',sport
What now for British tennis?,sport
Hewitt overcomes wobble in Sydney,sport
Moya fights back for Indian title,sport
Rochus shocks Coria in Auckland,sport
Johansson takes Adelaide victory,sport
Hingis hints at playing comeback,sport
Slovakia seal Hopman Cup success,sport
Dementieva prevails in Hong Kong,sport
Injury sidelines Philippoussis,sport
Hewitt falls to Dent in Adelaide,sport
Federer breezes into semi-finals,sport
Davenport puts retirement on hold,sport
Rusedski angry over supplements,sport
Ad sales boost Time Warner profit,business
Dollar gains on Greenspan speech,business
Yukos unit buyer faces loan claim,business
High fuel prices hit BA's profits,business
Pernod takeover talk lifts Domecq,business
Japan narrowly escapes recession,business
Jobs growth still slow in the US,business
India calls for fair trade rules,business
Ethiopia's crop production up 24%,business
Court rejects $280bn tobacco case,business
Ask Jeeves tips online ad revival,business
Indonesians face fuel price rise,business
Peugeot deal boosts Mitsubishi,business
Telegraph newspapers axe 90 jobs,business
Air passengers win new EU rights,business
China keeps tight rein on credit,business
Parmalat boasts doubled profits,business
India's rupee hits five-year high,business
India widens access to telecoms,business
Call centre users 'lose patience',business
Rank 'set to sell off film unit',business
Sluggish economy hits German jobs,business
Mixed signals from French economy,business
US trade gap hits record in 2004,business
Yukos loses US bankruptcy battle,business
Safety alert as GM recalls cars,business
"Steel firm 'to cut' 45,000 jobs",business
Strong demand triggers oil rally,business
UK firm faces Venezuelan land row,business
Soaring oil 'hits world economy',business
Irish markets reach all-time high,business
Japanese banking battle at an end,business
Rich grab half Colombia poor fund,business
"Rover deal 'may cost 2,000 jobs'",business
Ad firm WPP's profits surge 15%,business
US gives foreign firms extra time,business
Japanese mogul arrested for fraud,business
Deutsche Telekom sees mobile gain,business
Chinese wine tempts Italy's Illva,business
Umbro profits lifted by Euro 2004,business
Fed chief warning on US deficit,business
UK Coal plunges into deeper loss,business
Saudi ministry to employ women,business
Japan economy slides to recession,business
US crude prices surge above $53,business
Industrial output falls in Japan,business
Ryanair in $4bn Boeing plane deal,business
Parmalat to return to stockmarket,business
BMW cash to fuel Mini production,business
Bad weather hits Nestle sales,business
Fiat mulls Ferrari market listing,business
Italy to get economic action plan,business
Weak dollar hits Reuters,business
Hyundai to build new India plant,business
SA unveils 'more for all' budget,business
BMW drives record sales in Asia,business
Economy 'stronger than forecast',business
Electrolux to export Europe jobs,business
Worldcom ex-boss launches defence,business
Insurance bosses plead guilty,business
Further rise in UK jobless total,business
Wembley firm won't make a profit,business
Cars pull down US retail figures,business
Lufthansa may sue over Bush visit,business
EU aiming to fuel development aid,business
German business confidence slides,business
FAO warns on impact of subsidies,business
India seeks to boost construction,business
Boeing unveils new 777 aircraft,business
Circuit City gets takeover offer,business
Japan turns to beer alternatives,business
S Korean consumers spending again,business
German growth goes into reverse,business
Turkey-Iran mobile deal 'at risk',business
EU ministers to mull jet fuel tax,business
Palestinian economy in decline,business
China had role in Yukos split-up,business
Deadline nears for Fiat-GM deal,business
ID theft surge hits US consumers,business
"Argentina, Venezuela in oil deal",business
BMW to recall faulty diesel cars,business
Takeover rumour lifts Exel shares,business
Yukos accused of lying to court,business
Mexican in US send $16bn home,business
Home loan approvals rising again,business
Manufacturing recovery 'slowing',business
Worldcom boss 'left books alone',business
Metlife buys up Citigroup insurer,business
Europe blames US over weak dollar,business
French wine gets 70m euro top-up,business
Russia gets investment blessing,business
Iranian MPs threaten mobile deal,business
Argentina closes $102.6bn debt swap,business
US economy shows solid GDP growth,business
Profits slide at India's Dr Reddy,business
Burren awarded Egyptian contracts,business
'Strong dollar' call halts slide,business
IMF 'cuts' German growth estimate,business
"GM, Ford cut output as sales fall",business
Ebbers denies WorldCom fraud,business
Australia rates at four year high,business
US company admits Benin bribery,business
"US insurer Marsh cuts 2,500 jobs",business
US seeks new $280bn smoker ruling,business
Budget Aston takes on Porsche,business
Golden rule 'intact' says ex-aide,business
Liberian economy starts to grow,business
Slowdown hits US factory growth,business
Lufthansa flies back to profit,business
Japanese growth grinds to a halt,business
Unilever shake up as profit slips,business
France Telecom gets Orange boost,business
Brussels raps mobile call charges,business
WorldCom director admits lying,business
Glaxo aims high after profit fall,business
Japan bank shares up on link talk,business
Car giant hit by Mercedes slump,business
Ericsson sees earnings improve,business
Bank opts to leave rates on hold,business
Nigeria to boost cocoa production,business
US interest rates increased to 2%,business
US bank in $515m SEC settlement,business
Train strike grips Buenos Aires,business
Bargain calls widen Softbank loss,business
WMC profits up amid bid criticism,business
Barclays profits hit record level,business
Yukos owner sues Russia for $28bn,business
Qantas sees profits fly to record,business
Iraq to invite phone licence bids,business
Aviation firms eye booming India,business
Russian oil merger excludes Yukos,business
Brazil buy boosts Belgium's Inbev,business
Salary scandal in Cameroon,business
US adds more jobs than expected,business
Feta cheese battle reaches court,business
Ukraine revisits state sell-offs,business
Bank set to leave rates on hold,business
Winter freeze keeps oil above $50,business
German jobless rate at new record,business
Ore costs hit global steel firms,business
BMW reveals new models pipeline,business
Asian banks halt dollar's slide,business
Weak dollar trims Cadbury profits,business
Oil prices fall back from highs,business
Winn-Dixie files for bankruptcy,business
Why few targets are better than many,business
Malaysia lifts Islamic bank limit,business
Alfa Romeos 'to get GM engines',business
Saab to build Cadillacs in Sweden,business
Shares hit by MS drug suspension,business
Bank voted 8-1 for no rate change,business
Crude oil prices back above $50,business
House prices show slight increase,business
Golden rule boost for Chancellor,business
Macy's owner buys rival for $11bn,business
Industrial revival hope for Japan,business
Khodorkovsky ally denies charges,business
Qatar and Shell in $6bn gas deal,business
India unveils anti-poverty budget,business
GM pays $2bn to evade Fiat buyout,business
Ex-Boeing director gets jail term,business
Verizon 'seals takeover of MCI',business
US data sparks inflation worries,business
Yukos sues four firms for $20bn,business
Consumer spending lifts US growth,business
Crossrail link 'to get go-ahead',business
Hariri killing hits Beirut shares,business
Small firms 'hit by rising costs',business
Buyers snap up Jet Airways' shares,business
House prices suffer festive fall,business
Deutsche Boerse boosts dividend,business
Newest EU members underpin growth,business
Brewers' profits lose their fizz,business
Yangtze Electric's profits double,business
French consumer spending rising,business
GSK aims to stop Aids profiteers,business
Optimism remains over UK housing,business
Russia WTO talks 'make progress',business
Irish duo could block Man Utd bid,business
Dollar drops on reserves concerns,business
India and Russia in energy talks,business
Weak data buffets French economy,business
Business fears over sluggish EU economy,business
M&S cuts prices by average of 24%,business
US bank 'loses' customer details,business
Huge rush for Jet Airways shares,business
Bank payout to Pinochet victims,business
Qwest may spark MCI bidding war,business
Fiat chief takes steering wheel,business
Consumers drive French economy,business
US regulator to rule on pain drug,business
Yukos bankruptcy 'not US matter',business
Borussia Dortmund near bust,business
'Post-Christmas lull' in lending,business
UK 'risks breaking golden rule',business
Worldcom director ends evidence,business
Ukraine steel sell-off 'illegal',business
Cairn shares up on new oil find,business
Georgia plans hidden asset pardon,business
Cuba winds back economic clock,business
Novartis hits acquisition trail,business
MCI shareholder sues to stop bid,business
'Standoff' on Deutsche's LSE bid,business
Bush to outline 'toughest' budget,business
Orange colour clash set for court,business
Standard Life cuts policy bonuses,business
EMI shares hit by profit warning,business
China's Shanda buys stake in Sina,business
Mixed reaction to Man Utd offer,business
Gold falls on IMF sale concerns,business
Electronics firms eye plasma deal,business
MG Rover China tie-up 'delayed',business
US bank boss hails 'genius' Smith,business
Economy 'strong' in election year,business
SEC to rethink post-Enron rules,business
Nissan names successor to Ghosn,business
Ukraine trims privatisation check,business
Absa and Barclays talks continue,business
Rescue hope for Borussia Dortmund,business
Standard Life concern at LSE bid,business
BP surges ahead on high oil price,business
Oil companies get Russian setback,business
Gaming firm to sell UK dog tracks,business
Man Utd to open books to Glazer,business
Sales 'fail to boost High Street',business
McDonald's to sponsor MTV show,business
Call to save manufacturing jobs,business
Tsunami 'to hit Sri Lanka banks',business
Shares rise on new Man Utd offer,business
Yukos drops banks from court bid,business
Venezuela reviews foreign deals,business
Lloyd's of London head chides FSA,business
Bat spit drug firm goes to market,business
Vodafone appoints new Japan boss,business
Pension hitch for long-living men,business
Card fraudsters 'targeting web',business
Britannia members' Â£42m windfall,business
Firms pump billions into pensions,business
UK homes hit Â£3.3 trillion total,business
G7 backs Africa debt relief plan,business
Q&A: Malcolm Glazer and Man Utd,business
Making your office work for you,business
Market unfazed by Aurora setback,business
The 'ticking budget' facing the US,business
Ebbers 'aware' of WorldCom fraud,business
Renault boss hails 'great year',business
Survey confirms property slowdown,business
Bush budget seeks deep cutbacks,business
Profits stall at China's Lenovo,business
MCI shares climb on takeover bid,business
BT offers equal access to rivals,business
News Corp eyes video games market,business
Call to overhaul UK state pension,business
Singapore growth at 8.1% in 2004,business
Turkey knocks six zeros off lira,business
S Korea spending boost to economy,business
Latin America sees strong growth,business
Asia shares defy post-quake gloom,business
Booming markets shed few tears,business
Asian quake hits European shares,business
Split-caps pay Â£194m compensation,business
French suitor holds LSE meeting,business
Troubled Marsh under SEC scrutiny,business
Could Yukos be a blessing in disguise?,business
Nasdaq planning $100m share sale,business
Giving financial gifts to children,business
Air China in $1bn London listing,business
Oil prices reach three-month low,business
Arsenal 'may seek full share listing',business
Markets signal Brazilian recovery,business
Markets fall on weak dollar fears,business
Google shares fall as staff sell,business
Five million Germans out of work,business
India power shares jump on debut,business
Turkey turns on the economic charm,business
SBC plans post-takeover job cuts,business
German bidder in talks with LSE,business
Amex shares up on spin-off news,business
Axa Sun Life cuts bonus payments,business
Chinese dam firm 'defies Beijing',business
Stock market eyes Japan recovery,business
Iraqi voters turn to economic issues,business
EU 'too slow' on economic reforms,business
China continues breakneck growth,business
Japan's ageing workforce: built to last,business
GE sees 'excellent' world economy,business
UK economy facing 'major risks',business
Bank holds interest rate at 4.75%,business
Tobacco giants hail court ruling,business
Steady job growth continues in US,business
Glazer makes new Man Utd approach,business
Wall Street cheers Bush victory,business
Business confidence dips in Japan,business
Millions 'to lose textile jobs',business
"Dutch bank to lay off 2,850 staff",business
Fannie Mae 'should restate books',business
US to rule on Yukos refuge call,business
J&J agrees $25bn Guidant deal,business
Libya takes $1bn in unfrozen funds,business
Cactus diet deal for Phytopharm,business
Brazil plays down Varig rescue,business
Bombardier chief to leave company,business
Brazil approves bankruptcy reform,business
Retail sales show festive fervour,business
Cairn shares slump on oil setback,business
French boss to leave EADS,business
AstraZeneca hit by drug failure,business
Strong quarterly growth for Nike,business
Stormy year for property insurers,business
Parmalat sues 45 banks over crash,business
Irish company hit by Iraqi report,business
Yukos unit fetches $9bn at auction,business
S&N extends Indian beer venture,business
Euronext 'poised to make LSE bid',business
Christmas shoppers flock to tills,business
Mystery surrounds new Yukos owner,business
Euronext joins bid battle for LSE,business
Iraq and Afghanistan in WTO talks,business
Diageo to buy US wine firm,business
Tokyo says deflation 'controlled',business
No seasonal lift for house market,business
Yukos seeks court action on sale,business
Indy buys into India paper,business
Senior Fannie Mae bosses resign,business
Cannabis hopes for drug firm,business
Bush to get 'tough' on deficit,business
House prices drop as sales slow,business
Fresh hope after Argentine crisis,business
Disney settles disclosure charges,business
Putin backs state grab for Yukos,business
US firm pulls out of Iraq,business
Boeing secures giant Japan order,business
Banker loses sexism claim,business
Building giant in asbestos payout,business
Police detain Chinese milk bosses,business
India's Deccan seals $1.8bn deal,business
Venezuela and China sign oil deal,business
Jarvis sells Tube stake to Spain,business
Honda wins China copyright ruling,business
Air Jamaica back in state control,business
Battered dollar hits another low,business
Quake's economic costs emerging,business
Disaster claims 'less than $10bn',business
India-Pakistan peace boosts trade,business
US to probe airline travel chaos,business
S Korean lender faces liquidation,business
Dollar hits new low versus euro,business
Mild winter drives US oil down 6%,business
Share boost for feud-hit Reliance,business
Giant waves damage S Asia economy,business
Asia shares defy post-quake gloom,business
Israeli economy picking up pace,business
Soros group warns of Kazakh close,business
Deutsche attacks Yukos case,business
GM in crunch talks on Fiat future,business
Record year for Chilean copper,business
US consumer confidence up,business
Cash gives way to flexible friend,business
Go-ahead for Balkan oil pipeline,business
Durex maker SSL awaits firm bid,business
Nasdaq planning $100m-share sale,business
WMC says Xstrata bid is too low,business
Takeover offer for Sunderland FC,business
Warning over US pensions deficit,business
Beer giant swallows Russian firm,business
US manufacturing expands,business
Madagascar completes currency switch,business
Quiksilver moves for Rossignol,business
Dollar hovers around record lows,business
S Korean credit card firm rescued,business
Dollar slides ahead of New Year,business
VW considers opening Indian plant,business
Ukraine strikes Turkmen gas deal,business
Reliance unit loses Anil Ambani,business
India opens skies to competition,business
Oil rebounds from weather effect,business
Ban on forced retirement under 65,business
Fed warns of more US rate rises,business
Weak end-of-year sales hit Next,business
Tate & Lyle boss bags top award,business
Krispy Kreme shares hit,business
Germany nears 1990 jobless level,business
Venezuela identifies 'idle' farms,business
Egypt to sell off state-owned bank,business
Wal-Mart to pay $14m in gun suit,business
Yukos heading back to US courts,business
Deutsche Boerse set to 'woo' LSE,business
Laura Ashley chief stepping down,business
US Airways staff agree to pay cut,business
Delta cuts fares in survival plan,business
Profits jump at China's top bank,business
Green reports shun supply chain,business
Tsunami to cost Sri Lanka $1.3bn,business
Indian oil firm eyes Yukos assets,business
Monsanto fined $1.5m for bribery,business
Marsh executive in guilty plea,business
US interest rate rise expected,business
WorldCom bosses' $54m payout,business
Continental 'may run out of cash',business
House prices rebound says Halifax,business
Mixed Christmas for US retailers,business
India's Deccan gets more planes,business
South African car demand surges,business
UK bank seals South Korean deal,business
DaimlerChrysler's 2004 sales rise,business
Tsunami cost hits Jakarta shares,business
Iran budget seeks state sell-offs,business
EC calls truce in deficit battle,business
Enron bosses in $168m payout,business
UK house prices dip in November,business
Barclays shares up on merger talk,business
US firm 'bids for Lacroix label',business
$1m payoff for former Shell boss,business
India and Iran in gas export deal,business
LSE 'sets date for takeover deal',business
News Corp makes $5.4bn Fox offer,business
Israel looks to US for bank chief,business
EU-US seeking deal on air dispute,business
Nortel in $300m profit revision,business
Minister hits out at Yukos sale,business
Chinese exports rise 25% in 2004,business
Karachi stocks hit historic high,business
US trade gap ballooned in October,business
US prepares for hybrid onslaught,business
Mitsubishi in Peugeot link talks,business
BA to suspend two Saudi services,business
Cairn Energy in Indian gas find,business
Asia quake increases poverty risk,business
Fosters buys stake in winemaker,business
ECB holds rates amid growth fears,business
China bans new tobacco factories,business
UK interest rates held at 4.75%,business
German economy rebounds,business
US trade deficit widens sharply,business
Trade gap narrows as exports rise,business
Lesotho textile workers lose jobs,business
Kraft cuts snack ads for children,business
Khodorkovsky quits Yukos shares,business
Executive trio leave Aer Lingus,business
US in EU tariff chaos trade row,business
News Corp eyes video games market,business
US Ahold suppliers face charges,business
Wal-Mart fights back at accusers,business
US retail sales surge in December,business
Winemaker rejects Foster's offer,business
McDonald's boss Bell dies aged 44,business
US industrial output growth eases,business
LSE doubts boost bidders' shares,business
Qantas considers offshore option,business
Gazprom 'in $36m back-tax claim',business
Germany calls for EU reform,business
Parmalat founder offers apology,business
'Golden economic period' to end,business
Jobs go at Oracle after takeover,business
